NA	NA	107118	NA	16	
NA	NA	92522	NA	18	
NA	NA	29451	NA	20	
NA	NA	34888	NA	16	
NA	NA	4579	NA	14	
NA	NA	28712	132230	16	
NA	NA	2434	NA	12	
NA	NA	31560	NA	18	
NA	NA	2447	129562	20	
NA	NA	72852	NA	10	
NA	NA	14360	NA	16	
NA	NA	10143	NA	16	
NA	NA	32953	805622	16	
NA	NA	24047	NA	22	
NA	NA	46227	NA	18	
NA	NA	25188	1099608	16	
NA	NA	5245	NA	12	
NA	NA	6462	NA	16	
NA	NA	13374	1577626	20	
NA	NA	36957	214047	16	
NA	NA	13037	749793	12	
NA	NA	38014	NA	20	
NA	NA	88821	NA	22	
NA	NA	39899	327242	16	
NA	NA	49491	341127	20	
NA	NA	31928	NA	14	
NA	NA	7541	209015	14	
NA	NA	26191	160081	12	
NA	NA	27132	NA	16	
NA	NA	7719	NA	20	
NA	NA	15864	NA	20	
NA	NA	43436	734318	18	
NA	NA	63088	887138	20	
NA	NA	3500	473379	16	
NA	NA	19339	679167	18	
NA	NA	21239	1327714	18	
NA	NA	66832	NA	18	
NA	NA	3665	126717	16	
NA	NA	35964	NA	16	
NA	NA	6631	662727	16	
NA	NA	60862	495452	12	
NA	NA	27813	NA	8	
NA	NA	44612	88304	16	
NA	NA	4214	81334	12	
NA	NA	22597	1032020	16	
NA	NA	46201	203339	18	
NA	NA	20943	358291	16	
NA	NA	61207	NA	18	
NA	NA	10311	468756	16	
NA	NA	13229	NA	16	
NA	NA	138	1009561	12	
NA	NA	2361	NA	16	
NA	NA	74831	NA	16	
NA	NA	9316	NA	14	
NA	NA	3591	NA	18	
NA	NA	14222	NA	14	
NA	NA	79008	1193322	16	
NA	NA	51095	371623	18	
NA	NA	11493	357894	10	
NA	NA	37618	NA	22	
NA	NA	27318	NA	18	
NA	NA	13541	NA	16	
NA	NA	34368	NA	18	
NA	NA	13449	NA	16	
NA	NA	3073	1616847	16	
NA	NA	11541	NA	12	
NA	NA	29200	NA	20	
NA	NA	129433	NA	20	
NA	NA	47857	NA	16	
NA	NA	70333	800365	16	
NA	NA	1483	NA	18	
NA	NA	38930	NA	18	
NA	NA	19481	8842	12	
NA	NA	199726	493886	14	
NA	NA	32195	NA	14	
NA	NA	27176	NA	16	
NA	NA	17125	90340	16	
NA	NA	13090	NA	12	
NA	NA	36014	55569	14	
NA	NA	75255	355585	10	
NA	NA	12138	NA	14	
NA	NA	46426	165079	14	
NA	NA	9482	NA	16	
NA	NA	131462	NA	20	
NA	NA	51354	547443	14	
NA	NA	82545	NA	20	
NA	NA	279	NA	14	
NA	NA	6450	343399	24	
NA	NA	5581	426243	14	
NA	NA	26058	NA	16	
NA	NA	69358	NA	16	
NA	NA	17133	NA	18	
NA	NA	31139	NA	22	
NA	NA	3379	NA	16	
NA	NA	54854	NA	22	
NA	NA	5536	NA	18	
NA	NA	19006	NA	14	
NA	NA	55502	NA	14	
NA	NA	110397	NA	16	
NA	NA	38038	NA	20	
NA	NA	4129	10487	16	
NA	NA	62332	NA	16	
NA	NA	119098	135861	18	
NA	NA	21943	NA	16	
NA	NA	29490	NA	14	
NA	NA	116819	791731	16	
NA	NA	95178	198614	18	
NA	NA	170040	551259	20	
NA	NA	22334	117285	14	
NA	NA	59214	NA	14	
NA	NA	13260	NA	18	
NA	NA	81429	NA	14	
NA	NA	75799	489195	12	
NA	NA	22335	1575511	16	
NA	NA	4363	127802	14	
NA	NA	41578	142991	18	
NA	NA	88960	NA	20	
NA	NA	109885	NA	20	
NA	NA	31999	NA	16	
NA	NA	158315	NA	18	
NA	NA	20397	70546	18	
NA	NA	101064	NA	18	
NA	NA	34098	403211	18	
NA	NA	5256	NA	14	
NA	NA	18988	NA	16	
NA	NA	13921	40063	16	
NA	NA	13536	NA	12	
NA	NA	74461	847551	22	
NA	NA	6522	NA	14	
NA	NA	81685	NA	16	
NA	NA	35154	363500	16	
NA	NA	22071	1321448	16	
NA	NA	25226	NA	12	
NA	NA	9625	NA	20	
NA	NA	62863	724244	24	
NA	NA	25023	158851	18	
NA	NA	4323	NA	16	
NA	NA	3635	NA	16	
NA	NA	53489	NA	18	
NA	NA	70144	1046867	18	
NA	NA	24803	1226204	18	
NA	NA	11399	NA	14	
NA	NA	28178	303460	22	
NA	NA	35540	NA	18	
NA	NA	10213	NA	16	
NA	NA	9154	257976	18	
NA	NA	1150	294404	16	
NA	NA	7895	NA	14	
NA	NA	10601	1123111	18	
NA	NA	7089	16663	18	
NA	NA	50698	245817	14	
NA	NA	28332	NA	14	
NA	NA	22104	316025	18	
NA	NA	1626	NA	18	
NA	NA	60464	NA	16	
NA	NA	117260	NA	18	
NA	NA	32203	254428	16	
NA	NA	38147	NA	14	
NA	NA	10464	1134136	16	
NA	NA	44324	200339	14	
NA	NA	30439	181212	16	
NA	NA	21999	NA	14	
NA	NA	1626	63444	14	
NA	NA	32761	263076	14	
NA	NA	323767	106122	20	
NA	NA	7001	NA	22	
NA	NA	41271	219257	12	
NA	NA	6137	NA	14	
NA	NA	52244	NA	14	
NA	NA	1391	729613	14	
NA	NA	60644	674455	16	
NA	NA	27902	NA	18	
NA	NA	64569	459246	22	
NA	NA	5855	706483	12	
NA	NA	25203	355675	16	
NA	NA	38523	NA	16	
NA	NA	14727	NA	18	
NA	NA	37408	NA	12	
NA	NA	3074	NA	14	
NA	NA	8447	NA	14	
NA	NA	63008	NA	16	
NA	NA	8274	NA	10	
NA	NA	30047	2016722	14	
NA	NA	11849	239189	14	
NA	NA	120848	483709	22	
NA	NA	2906	NA	14	
NA	NA	5736	NA	20	
NA	NA	50059	NA	16	
NA	NA	13073	631539	14	
NA	NA	69765	NA	16	
NA	NA	16689	NA	16	
NA	NA	2114	NA	18	
NA	NA	14350	NA	16	
NA	NA	44365	NA	14	
NA	NA	15240	NA	14	
NA	NA	46135	556035	16	
NA	NA	53473	NA	12	
NA	NA	14039	403652	20	
NA	NA	17922	1090996	18	
NA	NA	8155	NA	20	
NA	NA	155003	1400333	22	
NA	NA	43941	NA	18	
NA	NA	9190	NA	12	
NA	NA	29657	NA	18	
NA	NA	81691	NA	18	
NA	NA	29352	NA	18	
NA	NA	11632	1064096	16	
NA	NA	50468	451341	14	
NA	NA	45028	NA	22	
NA	NA	58170	2519	18	
NA	NA	22028	NA	12	
NA	NA	17514	NA	22	
NA	NA	913	1571436	14	
NA	NA	52865	590018	14	
NA	NA	14196	517837	14	
NA	NA	100428	NA	14	
NA	NA	119166	NA	16	
NA	NA	103917	51672	16	
NA	NA	4378	1064422	18	
NA	NA	63044	92993	18	
NA	NA	3495	NA	18	
NA	NA	16819	NA	16	
NA	NA	40575	180091	16	
NA	NA	59687	NA	18	
NA	NA	13080	NA	20	
NA	NA	19291	287200	20	
NA	NA	75404	841379	18	
NA	NA	22000	NA	14	
NA	NA	51466	NA	22	
NA	NA	12967	285729	14	
NA	NA	64940	NA	20	
NA	NA	72159	NA	14	
NA	NA	16340	NA	16	
NA	NA	195182	466725	18	
NA	NA	4314	NA	20	
NA	NA	165466	1072993	4	
NA	NA	7273	NA	10	
NA	NA	85040	NA	14	
NA	NA	70784	NA	18	
NA	NA	37349	1131747	12	
NA	NA	31368	993125	14	
NA	NA	15632	NA	20	
NA	NA	84249	1596724	16	
NA	NA	110792	NA	12	
NA	NA	12693	1282216	14	
NA	NA	40349	NA	16	
NA	NA	28102	508114	16	
NA	NA	6855	NA	16	
NA	NA	6284	250052	16	
NA	NA	46644	121753	14	
NA	NA	4063	1004449	24	
NA	NA	52985	343367	20	
NA	NA	38153	NA	16	
NA	NA	46875	35012	14	
NA	NA	12068	400782	20	
NA	NA	36169	634701	18	
